Record ID,Geological Group ID,CV Block ID,target,model_score,score_type,prediction,threshold,threshold_status,repeat,outer_fold,model,parameter_hash,analysis_protocol_hash,optimizer_converged,optimizer_iterations,optimizer_fit_cycles
R0723,GG0059,CVB0055,1,0.6942444981777799,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0724,GG0059,CVB0055,1,0.39425449173535376,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0725,GG0059,CVB0055,1,0.46750699232580584,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0726,GG0059,CVB0055,1,0.5461222212644303,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0727,GG0059,CVB0055,1,0.5612323677457753,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0728,GG0059,CVB0055,1,0.11833241969350652,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0729,GG0059,CVB0055,1,0.31659526046396086,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0730,GG0059,CVB0055,1,0.2982944496981931,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0758,GG0012,CVB0012,1,0.09854746392374109,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0759,GG0012,CVB0012,1,0.019645444216017532,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0760,GG0012,CVB0012,1,0.012212520000037742,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0761,GG0012,CVB0012,1,0.029071953228655467,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0762,GG0012,CVB0012,1,0.035206312129835875,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0763,GG0012,CVB0012,1,0.020457132271925412,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0764,GG0012,CVB0012,1,0.12304824912018687,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0765,GG0012,CVB0012,1,0.34327813393145296,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0766,GG0012,CVB0012,1,0.2076613860358787,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0767,GG0012,CVB0012,1,0.11080644216550925,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
