Geological Group ID,target,target_nunique,cv_block,model_score,model_score_mean_sensitivity,record_count,prediction,score_type,threshold,threshold_status,repeat,outer_fold,model,parameter_hash,analysis_protocol_hash,optimizer_converged,optimizer_iterations,optimizer_fit_cycles
GG0110,0,1,CVB0106,4.281166649573879e-10,1.7686690839268748e-06,13,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0115,0,1,CVB0111,0.0002434564613171519,0.06413225877344178,23,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0120,0,1,CVB0116,0.000523521561888615,0.019003598353337,16,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0124,0,1,CVB0120,0.00010362712135668631,0.11032625133307655,9,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0128,0,1,CVB0124,0.00015813768285719338,0.0002845345084182993,5,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0012,1,1,CVB0012,0.008470116648823023,0.03619814742290016,28,0,predict_proba,0.27,constraints_met,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0019,0,1,CVB0017,0.00032719914452172816,0.0005534325864573475,5,0,predict_proba,0.27,constraints_met,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0023,0,1,CVB0020,0.023387467488646507,0.14231907233663246,38,0,predict_proba,0.27,constraints_met,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0029,0,1,CVB0026,0.0003631515137385577,0.035213541424517256,7,0,predict_proba,0.27,constraints_met,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0030,0,1,CVB0027,0.0024148032534867525,0.010481044434752059,59,0,predict_proba,0.27,constraints_met,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
