study_name,model,repeat,outer_fold,trial_number,state,objective,duration_seconds,parameters_json,metric::average_precision,metric::balanced_accuracy_at_0_5,metric::complexity,metric::f1_at_0_5,metric::fold_auc_sd,metric::keyboard_interrupt_retries,metric::optimizer_converged_fraction,metric::optimizer_fit_cycles_max,metric::optimizer_iterations_max,metric::parameter_hash,metric::roc_auc
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,31,COMPLETE,0.8413265306122449,19.398818,"{""max_depth"": null, ""max_features"": 0.3443275590784501, ""min_samples_leaf"": 3, ""n_estimators"": 929}",0.643085738350729,0.7535714285714286,9290.0,0.6538461538461539,0.0811139164084819,0,1.0,1.0,0.0,becad8fd2238547258ed4498321fb06f44eeb33cee3fc181609e333ae3979be9,0.8413265306122449
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,32,COMPLETE,0.8413265306122449,17.072079,"{""max_depth"": null, ""max_features"": 0.2911372427569564, ""min_samples_leaf"": 2, ""n_estimators"": 905}",0.6483523881032403,0.7535714285714286,13575.0,0.6538461538461539,0.0789638225161998,0,1.0,1.0,0.0,820fcfb2bc35343b423c1e5d61e27d2aa8b098e54401e9bb56938b6d6c8514c9,0.8413265306122449
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,33,COMPLETE,0.838265306122449,20.688078,"{""max_depth"": null, ""max_features"": 0.3670053885501415, ""min_samples_leaf"": 3, ""n_estimators"": 946}",0.6346525478270556,0.7607142857142857,9460.0,0.6666666666666666,0.0789300245130539,0,1.0,1.0,0.0,87ebe0cae50fee7af9fbdf0616d855471e8f8d1eab776acc9d5742647a17ca80,0.838265306122449
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,34,COMPLETE,0.8454081632653061,18.674501,"{""max_depth"": 20, ""max_features"": 0.41574092342361063, ""min_samples_leaf"": 2, ""n_estimators"": 782}",0.6606133589817191,0.7607142857142857,7820.0,0.6666666666666666,0.0749299804726316,0,1.0,1.0,0.0,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,0.8454081632653061
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,35,COMPLETE,0.8413265306122448,18.14267,"{""max_depth"": 20, ""max_features"": 0.4050300648617412, ""min_samples_leaf"": 2, ""n_estimators"": 767}",0.6458491883477656,0.7678571428571428,7670.0,0.68,0.076807215953298,0,1.0,1.0,0.0,d2ec72c6196c60ecac1edc4a39aac90c10212404a09844db78fb75cad7ddd9fd,0.8413265306122448
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,36,COMPLETE,0.8357142857142856,23.46426,"{""max_depth"": 14, ""max_features"": 0.4580378804006244, ""min_samples_leaf"": 4, ""n_estimators"": 960}",0.6275082246095866,0.7428571428571429,3360.0,0.64,0.0816878195927916,0,1.0,1.0,0.0,b50c6bd8858096f4d1340fc445539f8ed2d367c6c7d4b5e7648b573654b8842d,0.8357142857142856
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,37,COMPLETE,0.8285714285714286,15.943203,"{""max_depth"": 17, ""max_features"": 0.5210945286268863, ""min_samples_leaf"": 11, ""n_estimators"": 667}",0.6039571711829398,0.7071428571428571,1030.8181818181818,0.5833333333333334,0.0988868090192639,0,1.0,1.0,0.0,c9497b816286f388d747e0efcc61531e4667db48b0631d1cb3b4745080daa474,0.8285714285714286
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,38,COMPLETE,0.8316326530612245,25.932638,"{""max_depth"": 10, ""max_features"": 0.6479123709655609, ""min_samples_leaf"": 3, ""n_estimators"": 797}",0.625243753602981,0.7428571428571429,2656.6666666666665,0.64,0.0754130969632172,0,1.0,1.0,0.0,d5fe830e58c3213fca7000132967956ad42829b356102147587d4f90a650f0c1,0.8316326530612245
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,39,COMPLETE,0.8372448979591837,19.716813,"{""max_depth"": 16, ""max_features"": 0.4310355627602877, ""min_samples_leaf"": 6, ""n_estimators"": 863}",0.6291757106942929,0.7071428571428571,2301.333333333333,0.5833333333333334,0.0732389860495993,0,1.0,1.0,0.0,de38bfa004c3e68d120a8c9247efe6cff8574ea2db8117ef7a42d134118e25b2,0.8372448979591837
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r1_f1,SVM,1,1,0,COMPLETE,0.7545918367346939,1.015637,"{""C"": 0.10202018977231628, ""gamma"": 3.730037766354082e-05}",0.4716795569351042,0.5,-0.3164492646356225,0.0,0.0618858575236705,0,1.0,1.0,0.0,6f46542bb192fb8cd12df217734b2135e8294d795bdc5e057b4425a0971d61ea,0.7545918367346939
