model,feature,mean_abs_oof_shap,bootstrap_ci_low,bootstrap_ci_high,mean_rank,rank_sd,direction_spearman_mean,direction_spearman,direction_bootstrap_median,direction_bootstrap_ci_low,direction_bootstrap_ci_high,direction_block_bootstrap_ci_low,direction_block_bootstrap_ci_high,observed_only_direction_spearman,observed_only_direction_bootstrap_median,observed_only_direction_ci_low,observed_only_direction_ci_high,direction_sign,completed_direction_ci_excludes_zero,observed_direction_ci_excludes_zero,observed_completed_direction_agreement,direction_agreement_fraction,primary_missing_fraction,imputed_fraction,observed_group_count,new_rank,normalized_importance,top10_repeat_count,absolute_label_missingness_gap
XGBoost,Y (ppm),0.12493731826543808,0.10107887008978382,0.15148903711374037,21.333333333333332,6.658328118479393,0.23570244500542503,0.27178578863712216,0.26879151777070664,0.060504611820036705,0.46104279145686483,0.06387393670605701,0.47085738963395213,0.362379572424185,0.3655004232639753,0.15968358399657145,0.5380229300206713,1,True,True,True,1.0,0.07403503809765721,0.08597285067873303,117,23,0.017954871955495673,0,0.07200274780225
XGBoost,MnO (wt.%),0.1203833743929863,0.09606572567970972,0.14448133377624545,22.666666666666668,1.5275252316519465,0.5665942300138758,0.6352254362979677,0.6325983983057069,0.480339058465482,0.7597403675851455,0.473095696496649,0.7707312272635538,0.6817386469812646,0.6834877785627267,0.528657165486422,0.8088226197609316,1,True,True,True,1.0,0.07316155414185371,0.06499382969971206,117,24,0.017300419945018953,0,0.0637388473002351
XGBoost,Pr (ppm),0.11958631873130798,0.1000509997902793,0.1408179505314529,24.0,2.0,0.7295917749320274,0.8013079152508461,0.7996308051304444,0.7195578965168653,0.8529224828232258,0.7215095160574245,0.8568662136423378,0.8187137474361009,0.8181381607260945,0.7348016790634926,0.8729609952741509,1,True,True,True,1.0,0.011300491296177233,0.016042780748663103,121,25,0.01718587424685988,0,0.0451206836059822
XGBoost,Ga (ppm),0.10756723582744598,0.08879673702756351,0.12720062746022268,24.666666666666668,2.3094010767585034,-0.18993244460696346,-0.1883509133944673,-0.19039544432451944,-0.39140509279558094,0.009663790919643863,-0.37794337540438727,0.02079123178252675,-0.3467132060450761,-0.35289615089036475,-0.5877096733977338,-0.08088367748614807,-1,False,True,True,1.0,0.44720543253126127,0.4796380090497738,78,26,0.015458599341672265,0,0.2838089523266147
XGBoost,Hf (ppm),0.10104276984930038,0.08113581276599882,0.1233017123430265,26.333333333333332,1.1547005383792515,0.15263969163742352,0.1435536822814283,0.1376822077606187,-0.0674133002303906,0.3371187455151818,-0.0628167274322523,0.3352977988618448,0.11294508072352138,0.11496849228817241,-0.09984810315784982,0.3140232188132748,1,False,False,True,1.0,0.12373638356372922,0.10119292472233649,113,27,0.014520961549842067,0,0.0590761088759259
XGBoost,Er (ppm),0.0763063058257103,0.057558257808788586,0.09747919035206175,28.666666666666668,1.1547005383792515,0.19252299284686714,0.15227445097990971,0.1497686280553157,-0.07797855877450224,0.3708128382931536,-0.0879155097057818,0.3553902920064859,0.19732784168534945,0.19579378330267372,-0.04376947077311669,0.3938055272817802,1,False,False,True,1.0,0.010180518864729392,0.006993006993006993,121,28,0.010966058576563268,0,0.0140472372782985
XGBoost,La (ppm),0.05937907099723816,0.049987259422396464,0.06946774217818737,30.666666666666668,2.5166114784235836,-0.46649539040048693,-0.5172686702912572,-0.5177248500165118,-0.6645222743213722,-0.34638091931651077,-0.6686626996163997,-0.34589342901312153,-0.5041323993688058,-0.5020112712489235,-0.6587413539574944,-0.3270621029854855,-1,True,True,True,1.0,0.009524781159811358,0.004524886877828055,121,29,0.008533428053310711,0,0.0055726610071121
XGBoost,Ce (ppm),0.056584682315588,0.04764154363274727,0.06586334102149655,32.0,1.0,-0.49427697278533955,-0.5770768620743952,-0.5764229800387266,-0.7032904190569409,-0.4208980949607164,-0.7033559134476953,-0.42084885422696483,-0.6095004547249849,-0.6110400060220078,-0.7275386640602087,-0.4651072233221866,-1,True,True,True,1.0,0.011110859999988558,0.011106540518305225,121,30,0.008131843549421175,0,0.0022649694561122
XGBoost,Ho (ppm),0.05293364077806473,0.04500307045789549,0.06114698642974321,30.666666666666668,2.081665999466133,-0.31785375036821467,-0.3412311312491575,-0.3393434683934283,-0.5198319559350877,-0.14513564091131667,-0.5183181351316415,-0.13603699700533858,-0.3561300943988242,-0.3516091816455359,-0.5344797675162498,-0.1678245730746561,-1,True,True,True,1.0,0.012037441999365697,0.009461127108185932,121,31,0.007607148572607663,0,0.0105649389614094
XGBoost,Tm (ppm),0.052353110164403915,0.04491743834023211,0.060083465831359976,33.333333333333336,2.0816659994661326,-0.42611000859557296,-0.48114128854564164,-0.48565333410422096,-0.6289078302096376,-0.3235968266839283,-0.6256663618812482,-0.3189317913610941,-0.4559379989841509,-0.4551061830303412,-0.6061236189869579,-0.28062985437901167,-1,True,True,True,1.0,0.017654179771353497,0.014397367338543809,121,32,0.007523719914307346,0,0.0036003423276311
XGBoost,Gd (ppm),0.05214352160692215,0.04355733203816182,0.06077261598996406,31.0,2.6457513110645907,0.25337867025136523,0.24352265687943822,0.24625105490631852,0.0314509077208005,0.47210069823405126,0.03133792637206202,0.455161357163252,0.3641807728439697,0.3615532265258156,0.1510408775346847,0.5655381175829804,1,True,True,True,1.0,0.011372769237307633,0.010283833813245578,121,33,0.007493599724718138,0,0.0094041728557797
XGBoost,Tb (ppm),0.05209923908114433,0.0426537191540625,0.06247615575109089,31.666666666666668,2.5166114784235836,-0.1134692044515187,-0.15051958329572124,-0.1483953962097847,-0.35886167263851,0.07106824011004796,-0.36517172752097715,0.07956068144199356,-0.17158236056380946,-0.1781755886740596,-0.36548987126307647,0.04023933850022479,-1,False,False,True,0.6666666666666666,0.012835208155199151,0.012340600575894693,121,34,0.00748723583688026,0,0.0084950700230513
XGBoost,Sm (ppm),0.035500455647706985,0.025567178950300556,0.04852082948667972,34.333333333333336,2.0816659994661326,-0.019332170196903805,0.01974627743766653,0.016015735978775664,-0.18237088182855204,0.2207967717760815,-0.17971911712954022,0.2152092870576007,0.003371890189345418,-0.001345058485742667,-0.19565045606501605,0.20883574898396862,1,False,False,True,0.6666666666666666,0.011749901212800264,0.005758946935417524,121,35,0.005101807405231144,0,0.0058243242800135
XGBoost,Nd (ppm),0.031461890786886215,0.026250015286161932,0.0372433152958201,35.666666666666664,0.5773502691896258,0.05426380170249125,0.2007488387250004,0.2062937992617832,-0.00025609707724030356,0.39950751495083714,0.01617476865284545,0.39688259943947746,0.14951072544075805,0.15004430261714863,-0.04069740825031886,0.3432691315626361,1,False,False,True,0.6666666666666666,0.013530165083228069,0.013574660633484163,121,36,0.0045214210485627175,0,0.0326604824721039
