model,Geological Group ID,target,cv_block,model_score,model_score_mean_sensitivity,model_score_sd,score_type,positive_vote_fraction,prediction
SVM,GG0037,0,CVB0034,0.25652334459625836,0.265614631335934,0.049308840911313476,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0038,1,CVB0035,0.589543181473632,0.5681625766882762,0.07929066594485554,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0039,0,CVB0036,0.3564044270676991,0.38178449062696357,0.12249144877331246,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0040,0,CVB0037,0.06250894869171437,0.07597545243290132,0.08252299858324202,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0041,1,CVB0038,0.6187910052752521,0.5695711097935011,0.20939087903118608,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0042,1,CVB0039,0.27007512307361203,0.2891754540868416,0.08521674305820306,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0043,1,CVB0040,0.5477197447973144,0.4756638932466049,0.17367989850740254,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0044,0,CVB0010,0.6528164579097818,0.6673840608234608,0.03176155935192068,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0045,1,CVB0041,0.5652944752106649,0.5640780664894228,0.009127053496272514,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0046,1,CVB0042,0.6074616632435527,0.5940689646523373,0.03909743303808432,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0047,1,CVB0043,0.44651647424811447,0.5063291847464341,0.21202473830296328,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0048,1,CVB0044,0.17835227395295059,0.1864048993428009,0.03446204295323146,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0049,1,CVB0045,0.7047913197366895,0.5821376854788906,0.2587210709963857,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0050,1,CVB0046,0.663253084292942,0.6493787277994238,0.05966583311607461,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0051,1,CVB0047,0.5146927613151643,0.5935090715501254,0.14625858035404732,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0052,1,CVB0048,0.7175806972998718,0.6956653428690102,0.07192380223332243,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0053,1,CVB0049,0.2953673946698153,0.4132635369071222,0.21756484363915704,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0054,1,CVB0050,0.5794239289214466,0.5881379200852725,0.04275822620194243,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0055,0,CVB0051,0.38593856394141374,0.3582994584026024,0.07765949122618046,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0056,1,CVB0052,0.18180092079522597,0.15957580335642918,0.04088401778801513,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0057,1,CVB0053,0.5111708920187312,0.4830884238314031,0.13252394482905047,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0058,1,CVB0054,0.46714500339305903,0.473491633834652,0.0338836647541149,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0059,1,CVB0055,0.5197654361510866,0.5327127877446123,0.075688731453153,monotonic_transformed_decision_score_not_calibrated,0.6666666666666666,1
SVM,GG0061,1,CVB0057,0.48830327696538894,0.5243526265739912,0.08375200943458248,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0062,1,CVB0058,0.29288161417781466,0.29806324396551004,0.030390526181450814,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0064,1,CVB0060,0.5327913073044281,0.5193090157726014,0.10082058761747556,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0065,0,CVB0061,0.09456193414359236,0.09583024344868167,0.0335838140222043,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0066,0,CVB0062,0.3643261964793429,0.39206608491966516,0.08762881127091131,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0067,0,CVB0063,0.2817246424257009,0.26359701352424597,0.13543378307698759,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0068,0,CVB0064,0.4208501762119743,0.49025455433309584,0.1596821599857184,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
