scope,repeat_id,repeat_seed,effective_split_seed,split_seed_offset,outer_fold,probability_version,evaluation_unit,group_type_strata,source_blocks,n,macro_f1,balanced_accuracy,macro_ovr_auc,precision_I,recall_I,f1_I,support_I,precision_A,recall_A,f1_A,support_A,precision_S,recall_S,f1_S,support_S,analysis_protocol_hash
outer_fold,5,20260895,20260896.0,1.0,2,raw,geological_group_by_reported_type_stratum,16,15,16,0.7350427350427351,0.7380952380952381,0.9166726791726791,0.625,1.0,0.7692307692307693,5,1.0,0.5,0.6666666666666666,4,0.8333333333333334,0.7142857142857143,0.7692307692307693,7,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,5,20260895,20260896.0,1.0,2,calibrated,geological_group_by_reported_type_stratum,16,15,16,0.6278388278388278,0.6547619047619048,0.926485088985089,0.5555555555555556,1.0,0.7142857142857143,5,1.0,0.25,0.4,4,0.8333333333333334,0.7142857142857143,0.7692307692307693,7,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,5,20260895,20260896.0,1.0,3,raw,geological_group_by_reported_type_stratum,15,15,15,0.36507936507936506,0.37777777777777777,0.8136182336182337,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.0,0.0,0.0,2,0.7272727272727273,0.8,0.7619047619047619,10,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,5,20260895,20260896.0,1.0,3,calibrated,geological_group_by_reported_type_stratum,15,15,15,0.36507936507936506,0.37777777777777777,0.8043589743589745,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.0,0.0,0.0,2,0.7272727272727273,0.8,0.7619047619047619,10,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,5,20260895,20260896.0,1.0,4,raw,geological_group_by_reported_type_stratum,14,14,14,0.5416666666666666,0.5416666666666666,0.7138888888888889,0.5,0.5,0.5,4,0.5,0.5,0.5,2,0.625,0.625,0.625,8,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,5,20260895,20260896.0,1.0,4,calibrated,geological_group_by_reported_type_stratum,14,14,14,0.5416666666666666,0.5416666666666666,0.7138888888888889,0.5,0.5,0.5,4,0.5,0.5,0.5,2,0.625,0.625,0.625,8,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
pooled_repeat,1,20260891,,,0,raw,geological_group_by_reported_type_stratum,54,52,54,0.48166991185645786,0.4814814814814814,0.7127413738524849,0.35714285714285715,0.3333333333333333,0.3448275862068966,15,0.4444444444444444,0.4444444444444444,0.4444444444444444,9,0.6451612903225806,0.6666666666666666,0.6557377049180327,30,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
pooled_repeat,1,20260891,,,0,calibrated,geological_group_by_reported_type_stratum,54,52,54,0.48166991185645786,0.4814814814814814,0.7112179487179487,0.35714285714285715,0.3333333333333333,0.3448275862068966,15,0.4444444444444444,0.4444444444444444,0.4444444444444444,9,0.6451612903225806,0.6666666666666666,0.6557377049180327,30,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
pooled_repeat,2,20260892,,,0,raw,geological_group_by_reported_type_stratum,54,52,54,0.5362773029439696,0.5259259259259259,0.800031655587211,0.4166666666666667,0.3333333333333333,0.37037037037037035,15,0.5714285714285714,0.4444444444444444,0.5,9,0.6857142857142857,0.8,0.7384615384615385,30,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
pooled_repeat,2,20260892,,,0,calibrated,geological_group_by_reported_type_stratum,54,52,54,0.5362773029439696,0.5259259259259259,0.8007280785058563,0.4166666666666667,0.3333333333333333,0.37037037037037035,15,0.5714285714285714,0.4444444444444444,0.5,9,0.6857142857142857,0.8,0.7384615384615385,30,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
pooled_repeat,3,20260893,,,0,raw,geological_group_by_reported_type_stratum,54,52,54,0.5752191700759789,0.5888888888888889,0.752860873694207,0.42857142857142855,0.4,0.41379310344827586,15,0.5454545454545454,0.6666666666666666,0.6,9,0.7241379310344828,0.7,0.711864406779661,30,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
pooled_repeat,3,20260893,,,0,calibrated,geological_group_by_reported_type_stratum,54,52,54,0.5698483496877788,0.5777777777777778,0.737460430515986,0.4,0.4,0.4,15,0.6,0.6666666666666666,0.631578947368421,9,0.6896551724137931,0.6666666666666666,0.6779661016949152,30,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
pooled_repeat,4,20260894,,,0,raw,geological_group_by_reported_type_stratum,54,52,54,0.507089552238806,0.5,0.6424778410889522,0.5,0.3333333333333333,0.4,15,0.42857142857142855,0.3333333333333333,0.375,9,0.6756756756756757,0.8333333333333334,0.746268656716418,30,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
pooled_repeat,4,20260894,,,0,calibrated,geological_group_by_reported_type_stratum,54,52,54,0.507089552238806,0.5,0.645014245014245,0.5,0.3333333333333333,0.4,15,0.42857142857142855,0.3333333333333333,0.375,9,0.6756756756756757,0.8333333333333334,0.746268656716418,30,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
pooled_repeat,5,20260895,,,0,raw,geological_group_by_reported_type_stratum,54,52,54,0.546179859465808,0.5481481481481482,0.768170307059196,0.5,0.5333333333333333,0.5161290322580645,15,0.4444444444444444,0.4444444444444444,0.4444444444444444,9,0.6896551724137931,0.6666666666666666,0.6779661016949152,30,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
pooled_repeat,5,20260895,,,0,calibrated,geological_group_by_reported_type_stratum,54,52,54,0.5103024260551678,0.5111111111111111,0.753767014878126,0.47058823529411764,0.5333333333333333,0.5,15,0.375,0.3333333333333333,0.35294117647058826,9,0.6896551724137931,0.6666666666666666,0.6779661016949152,30,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
